"","x"
"1",1.38168562497988e-38
"2",9.15888132616503e-37
"3",1.86391902561395e-34
"4",9.90872767452091e-32
"5",1.13710452359901e-28
"6",1.31192865954225e-24
"7",3.23977787361955e-17
"8",5.49179919401926e-12
"9",6.72180773782279e-09
"10",2.54533558561151e-06
"11",0.000272953668337843
"12",0.0153987902823657
"13",0.00990840639184992
"14",0.00673458832865329
"15",5.0871452400986e-12
"16",1.58242917171748e-19
"17",7.77389732889396e-30
"18",6.01994078417839e-43
"19",7.34826037854659e-59
"20",1.41389042303138e-77
"21",3.46328824949273e-84
"22",9.78036231699369e-94
"23",7.01214098357201e-102
"24",1.22552773817935e-107
"25",2.58354035593033e-110
"26",1.38135422346197e-109
"27",1.53029161664883e-105
"28",1.14235213891922e-98
"29",8.51910779767956e-90
"30",5.39996253617185e-80
"31",2.20453937547357e-73
"32",1.14574150032129e-54
"33",9.38629775020841e-39
"34",1.21210685660434e-25
"35",2.4673251626316e-15
"36",7.91681992097706e-08
"37",0.00400418416345209
"38",0.319660235099956
"39",0.257303057832444
"40",1.05758859700468e-05
"41",1.32944471493501e-07
"42",1.44449389435441e-08
"43",1.70433612735386e-09
"44",3.83129428351057e-10
"45",2.44000317419270e-10
"46",4.9602535538522e-10
"47",2.66782666424237e-09
"48",1.62687873404447e-07
"49",0.000975800398779212
"50",0.00657650963444495
"51",8.19579448947121e-05
"52",1.62042069559437e-09
"53",5.05013982406658e-17
"54",2.48094949148611e-27
"55",1.92119453028704e-40
"56",2.34511237776497e-56
"57",4.51226788524588e-75
"58",1.10526842045019e-81
"59",5.67576626261275e-92
"60",3.00527186697658e-102
"61",2.84773639086723e-111
"62",5.91869334086303e-118
"63",1.7260079236317e-121
"64",1.88514983209617e-121
"65",7.62983571696907e-118
"66",4.2021627584873e-111
"67",4.8435070801604e-102
"68",1.97736595431424e-95
"69",1.02767510545981e-76
"70",8.41905833699644e-61
"71",1.08720164307582e-47
"72",2.21307218600369e-37
"73",7.10100729122393e-30
"74",3.59156090871764e-25
"75",2.86342235820425e-23
"76",3.59854125753987e-24
"77",7.12863632870361e-28
"78",1.1683516856016e-29
"79",1.26714301192527e-32
"80",3.15796573982368e-35
"81",2.16981385787714e-37
"82",4.78334689002145e-39
"83",3.8108046210986e-40
"84",1.17180096365312e-40
"85",1.45843467125841e-40
"86",7.26893506948261e-40
"87",5.17736768725169e-16
"88",0.0364517868142214
"89",5.55191080169258e-86
"90",3.28146912853413e-76
"91",2.96145729999537e-97
"92",1.86147682650509e-102
"93",1.98899820608402e-87
"94",1.47458764248313e-81
"95",1.10022998528649e-92
"96",1.39547147075924e-83
"97",1.97633416135271e-22
"98",1.98812233295711e-21
"99",1.95340686608771e-24
"100",0.000113157046196115
"101",2.15175624163672e-29
"102",1.1485284905506e-30
"103",3.40264154810765e-29
"104",9.82142278172304e-17
"105",1.29113989131359e-21
"106",0.638745088788992
"107",1.11578857642696e-25
"108",4.52625855937728e-18
"109",5.89348025639302e-32
"110",7.41913274751906e-34
"111",3.31491372219131e-27
"112",9.53316860096585e-21
"113",4.7421941746869e-33
"114",2.12111022870106e-23
"115",4.50221483862362e-08
"116",2.11513153857957e-11
"117",8.08747236065693e-18
"118",0.00302461654141231
"119",1.44310169708212
"120",0.22330080058301
"121",4.50675607218694
"122",5.13844135549393e-12
"123",1.30451614196635e-15
"124",3.63951947443989e-15
"125",1.9024420082467e-17
"126",2.335829570889e-29
"127",1.01737851873421e-06
"128",1.8180000884564e-12
"129",5.3412825795261e-08
"130",1.38048377211489
"131",0.310364150706538
"132",0.480494000250283
"133",3.08458965636338e-09
"134",1.16699914478323e-11
"135",0.000107543848357933
"136",0.104717451586642
"137",4.05455332482817
"138",1.11280809845801
"139",2.002853820487
"140",3.59440246210412
"141",1.73836507557827
"142",4.82708429847528
"143",0.026356269120281
"144",0.0042894360334773
"145",2.68275673165568e-08
"146",1.14671392426639e-11
"147",0.269384828974154
"148",0.0013242473705892
"149",0.186197705441614
"150",0.00485514072547604
"151",0.0200469132606723
"152",7.35093952694378e-05
"153",1.95972205179571e-06
"154",0.528217587158005
"155",2.77103364533832e-05
"156",6.8586842237824e-108
"157",9.49677346877714e-100
"158",3.28783491202728e-93
"159",6.92083618770323e-95
"160",3.54263150855016e-22
"161",9.04822577211692e-27
"162",8.24061643502412e-20
"163",3.85893606477232e-14
"164",8.63558038289313e-12
"165",3.48461615628525e-11
"166",7.52847141876522e-17
"167",2.4936093026693e-06
"168",4.4221996811669e-25
"169",2.03074001859744e-21
"170",6.85342057839289e-17
"171",6.05897703745837e-20
"172",5.00957051044435e-30
"173",7.86843845704284e-34
"174",2.36979607906872e-25
"175",2.97020691422246e-11
"176",7.71893494636756e-09
"177",4.97873818595419e-13
"178",3.63148397964672e-17
"179",2.92738086340765e-13
"180",5.80837599326798e-19
"181",8.43804083232638e-11
"182",2.44244944458026e-24
"183",0.000919737576414305
"184",4.30173651362723e-07
"185",1.88318345401448e-06
"186",2.79013432896896e-12
"187",1.01390747938786e-08
"188",1.48591173532659e-10
"189",1.20287922344295e-05
"190",7.63644455731193e-09
"191",5.10439286974464e-06
"192",1.16700577878346e-21
"193",9.60455379286456e-08
"194",1.27493613708087e-20
"195",1.20860627879298e-14
"196",1.665982052569e-14
"197",3.75220440384496e-16
"198",7.21161371488156e-24
"199",3.27636365920323e-19
"200",7.43111439864067e-35
"201",1.54818628352952e-23
"202",1.50232611215831e-26
"203",1.41756651576348e-31
"204",2.43520208681467e-31
"205",7.64588085356502e-48
"206",1.41239621227925e-34
"207",2.80568536429512e-39
"208",3.25141072288264e-32
"209",3.17232076509081e-39
"210",6.63997947916383e-41
"211",3.07558568580071e-48
"212",1.03963939022221e-13
"213",5.01242919359598e-22
"214",1.2944413246731e-30
"215",1.0940069585968e-20
"216",1.60950040878269e-53
"217",2.8244357692947e-57
"218",2.58510602854045e-40
"219",4.73950303871709e-46
"220",2.86796501751423e-55
"221",9.42607289822735e-40
"222",2.25711819325434e-17
"223",3.1517079212246e-15
"224",1.45076815782952e-17
"225",2.27454414837199e-23
"226",2.39992799757939e-14
"227",1.36377598306053e-65
"228",9.71606105011781e-66
"229",9.12519385020159e-69
"230",2.16443031906981e-72
"231",1.38438539288089e-81
"232",3.05080203560588e-75
"233",2.21200692494448e-83
"234",7.86069329577055e-78
"235",4.27289925975513e-60
"236",1.42207804526546e-49
"237",9.1703084250685e-56
"238",4.79004646502631e-43
"239",1.68080072060167e-73
"240",7.26085828624661e-60
"241",1.13898650420792e-19
"242",2.49244510357927e-66
"243",6.42848205032799e-46
"244",1.10299018687001e-64
"245",1.76985336367395e-73
"246",7.61251526010403e-67
"247",3.50530583936347e-52
"248",1.87441808786193e-49
"249",5.46550634100336e-39
"250",8.14922951237785e-30
"251",3.92450624924395e-45
"252",2.83748336330154e-31
"253",3.39295529016411e-24
"254",3.22862414688535e-25
"255",2.78540350908511e-32
"256",1.05105725093181e-19
"257",6.97070290004436e-38
"258",2.86676021854896e-38
"259",4.73309700564452e-31
"260",7.61880487916021e-46
"261",4.16552453573936e-56
"262",2.74258291689607e-36
"263",2.55801966120814e-68
"264",1.79025846180639e-64
"265",3.28574442623569e-62
"266",4.72617774998577e-55
"267",5.58006196427591e-47
