,nit,x_diff,f_diff,p_id,duration_microsec
0,1,3.27941e-13,1.07545e-25,0,37.94
1,1,9.66468e-15,9.34061e-29,1,3.695
2,1,4.52022e-14,2.04324e-27,2,2.246
3,1,2.31973e-14,5.38114e-28,3,2.529
4,1,1.38803e-14,1.92663e-28,4,2.348
5,1,4.02576e-14,1.62068e-27,5,2.066
6,1,3.32001e-15,1.10225e-29,6,1.908
7,1,2.74941e-14,7.55926e-28,7,2.162
8,1,7.17836e-14,5.15289e-27,8,2.929
9,1,1.47208e-14,2.16703e-28,9,2.04
10,1,4.24409e-14,1.80123e-27,10,1.914
11,1,4.15005e-14,1.72229e-27,11,2.037
12,1,3.69509e-14,1.36537e-27,12,1.9
13,1,8.92194e-14,7.9601e-27,13,2.017
14,1,5.81491e-15,3.38132e-29,14,1.993
15,1,1.42897e-14,2.04195e-28,15,1.903
16,1,2.35143e-14,5.52921e-28,16,6.179
17,1,7.95404e-16,6.32668e-31,17,2.036
18,1,4.08635e-14,1.66982e-27,18,2.169
19,1,9.86038e-15,9.72271e-29,19,2.119
20,1,2.69144e-14,7.24384e-28,20,1.985
21,1,6.81222e-14,4.64063e-27,21,1.995
22,1,8.00843e-15,6.4135e-29,22,1.992
23,1,1.71909e-14,2.95527e-28,23,1.974
24,1,2.2792e-14,5.19477e-28,24,2.167
25,1,2.96819e-13,8.81018e-26,25,2.002
26,1,1.74755e-15,3.05395e-30,26,1.933
27,1,5.88094e-14,3.45854e-27,27,1.891
28,1,6.51636e-15,4.24629e-29,28,1.888
29,1,1.27571e-13,1.62744e-26,29,1.897
