,nit,x_diff,f_diff,p_id,duration_microsec
0,1,5.45262e-13,8.30085,0,4.287
1,1,2.50941e-13,6.76646,1,2.321
2,1,4.90788e-13,7.8277,2,2.165
3,1,8.04959e-13,8.24755,3,1.978
4,1,2.62334e-13,7.18439,4,2.038
5,1,6.72109e-13,11.5424,5,2.025
6,1,1.36163e-13,3.90358,6,2.042
7,1,6.08824e-13,10.2797,7,2.077
8,1,5.09387e-13,6.33272,8,2.036
9,1,1.14476e-12,19.5386,9,2.05
10,1,9.48742e-13,14.1894,10,2.057
11,1,1.07342e-13,2.77211,11,2.091
12,1,6.91342e-13,12.9563,12,2.078
13,1,7.16029e-13,13.386,13,2.056
14,1,1.55448e-12,16.2206,14,2.056
15,1,4.39588e-13,6.55761,15,2.054
16,1,6.60545e-13,11.2771,16,2.059
17,1,3.72391e-13,7.15962,17,2.046
18,1,9.565e-13,10.5553,18,2.072
19,1,5.78747e-13,9.03717,19,2.043
20,1,5.45715e-13,9.25481,20,2.085
21,1,7.75036e-13,13.2767,21,2.047
22,1,6.25222e-13,15.1698,22,2.083
23,1,5.60818e-13,6.09216,23,2.095
24,1,7.62117e-13,8.72495,24,2.178
25,1,1.03071e-12,17.5105,25,2.229
26,1,4.85268e-13,6.55974,26,2.214
27,1,9.6611e-13,10.5477,27,2.258
28,1,3.59164e-13,4.67557,28,2.188
29,1,1.24014e-12,16.144,29,2.253
